Partlist

Exported from HDMI_RGB_LVDS_fertig_V6.sch at 4/28/14 9:10 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                Device                        Package              Library           Sheet

C1       100u                 RSS1C101MCN1GS                C_POL_6X6MM          SchlegelAr_Master 3
C2       10u                  C_POL4X4MM                    C_POL_4X4MM          SchlegelAr_Master 3
C3       100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C4       100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C6       100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C7       22p                  C_SMD0402                     C0402                SchlegelAr_Master 5
C8       22p                  C_SMD0402                     C0402                SchlegelAr_Master 5
C9       100n                 C_SMD0402                     C0402                SchlegelAr_Master 5
C10      100n                 C_SMD0402                     C0402                SchlegelAr_Master 5
C11      100n                 C_SMD0402                     C0402                SchlegelAr_Master 5
C12      100n                 C_SMD0402                     C0402                SchlegelAr_Master 5
C13      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C14      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C15      0.01u                C_SMD0402                     C0402                SchlegelAr_Master 6
C16      100n                 C_SMD0402                     C0402                SchlegelAr_Master 6
C17      0.01u                C_SMD0402                     C0402                SchlegelAr_Master 6
C18      100n                 C_SMD0402                     C0402                SchlegelAr_Master 6
C19      0.01u                C_SMD0402                     C0402                SchlegelAr_Master 6
C20      100n                 C_SMD0402                     C0402                SchlegelAr_Master 6
C21      0.01u                C_SMD0402                     C0402                SchlegelAr_Master 6
C22      0.01u                C_SMD0402                     C0402                SchlegelAr_Master 6
C23      100n                 C_SMD0402                     C0402                SchlegelAr_Master 5
C24      100n                 C_SMD0402                     C0402                SchlegelAr_Master 5
C25      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C26      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C27      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C28      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C29      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C30      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C31      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C32      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C33      100n                 C_SMD0402                     C0402                SchlegelAr_Master 4
C34      10u                  C_POL4X4MM                    C_POL_4X4MM          SchlegelAr_Master 4
C35      10u                  C_POL4X4MM                    C_POL_4X4MM          SchlegelAr_Master 4
